"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX2676403","GSM2551426: 9B Old Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074908","","1028.81","1","16186446","1651017492","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676402","GSM2551425: 9A Old Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074907","","1511.49","1","23836390","2431311780","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676401","GSM2551424: 8B Old Resistance PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074905","","1534.73","1","25035112","2553581424","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676400","GSM2551423: 8A Old Resistance PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074906","","1357.78","1","22148362","2259132924","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676399","GSM2551422: 7C Old Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074904","","1041.34","1","17112822","1745507844","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676398","GSM2551421: 7B Old Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074903","","1574.53","1","25646761","2615969622","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676397","GSM2551420: 6B Young HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074902","","1117.13","1","18192112","1855595424","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676396","GSM2551419: 6A Young HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074900","","851.37","1","13884812","1416250824","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676395","GSM2551418: 5C Old Combined PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074901","","865.39","1","14164263","1444754826","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676394","GSM2551417: 5B Old Combined PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074899","","538.23","1","8725047","889954794","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676393","GSM2551416: 53B Old HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074898","","2060.33","1","29844546","3044143692","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676392","GSM2551415: 53A Old HIIT PreTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074897","","2130.72","1","30724100","3133858200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2676391","GSM2551414: 52B Old HIIT PostTraining; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP102542","Enhanced Protein Translation Underlies Improved Metabolic and Physical Adaptations to Different Exercise Training Modes in Young and Old Humans","SRS2074896","","2100.4","1","30330048","3093664896","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
